INPUT:image	OUTPUT:result	CONFIDENCE:result	
/car-numbers-1/train_unlabelled/390.png	no	99.99%	
/car-numbers-1/train_unlabelled/82.png	yes	100.00%	
/car-numbers-1/train_unlabelled/267.png	yes	100.00%	
/car-numbers-1/train_unlabelled/195.png	yes	100.00%	
/car-numbers-1/train_labelled/9.png	no	100.00%	
/car-numbers-1/train_unlabelled/301.png	yes	100.00%	
/car-numbers-1/train_unlabelled/295.png	yes	100.00%	
/car-numbers-1/train_unlabelled/494.png	yes	100.00%	
/car-numbers-1/train_unlabelled/460.png	yes	100.00%	
/car-numbers-1/train_unlabelled/180.png	yes	100.00%	
/car-numbers-1/train_labelled/5.png	no	100.00%	
/car-numbers-1/train_unlabelled/481.png	no	100.00%	
/car-numbers-1/train_unlabelled/262.png	no	100.00%	
/car-numbers-1/train_unlabelled/457.png	no	100.00%	
/car-numbers-1/train_labelled/4.png	no	100.00%	
/car-numbers-1/train_unlabelled/178.png	no	100.00%	
/car-numbers-1/train_unlabelled/132.png	yes	100.00%	
/car-numbers-1/train_unlabelled/414.png	yes	100.00%	
/car-numbers-1/train_unlabelled/499.png	no	100.00%	
/car-numbers-1/train_unlabelled/126.png	yes	100.00%	
/car-numbers-1/train_labelled/6.png	no	99.99%	
/car-numbers-1/train_unlabelled/67.png	no	99.99%	
/car-numbers-1/train_labelled/7.png	no	99.99%	
/car-numbers-1/train_unlabelled/309.png	yes	100.00%	
/car-numbers-1/train_unlabelled/249.png	yes	100.00%	
/car-numbers-1/train_unlabelled/199.png	yes	100.00%	
/car-numbers-1/train_labelled/13.png	no	100.00%	
/car-numbers-1/train_unlabelled/291.png	yes	100.00%	
/car-numbers-1/train_unlabelled/268.png	no	100.00%	
/car-numbers-1/train_unlabelled/362.png	yes	100.00%	
/car-numbers-1/train_unlabelled/69.png	no	100.00%	
/car-numbers-1/train_unlabelled/14.png	no	100.00%	
/car-numbers-1/train_unlabelled/359.png	yes	100.00%	
/car-numbers-1/train_labelled/3.png	no	100.00%	
/car-numbers-1/train_unlabelled/79.png	yes	100.00%	
/car-numbers-1/train_labelled/2.png	no	100.00%	
/car-numbers-1/train_unlabelled/122.png	no	100.00%	
/car-numbers-1/train_unlabelled/241.png	yes	100.00%	
/car-numbers-1/train_unlabelled/138.png	yes	100.00%	
/car-numbers-1/train_unlabelled/247.png	yes	100.00%	
/car-numbers-1/train_labelled/0.png	no	100.00%	
/car-numbers-1/train_labelled/11.png	no	100.00%	
/car-numbers-1/train_unlabelled/311.png	no	100.00%	
/car-numbers-1/train_unlabelled/219.png	no	100.00%	
/car-numbers-1/train_unlabelled/354.png	yes	100.00%	
/car-numbers-1/train_unlabelled/269.png	yes	100.00%	
/car-numbers-1/train_unlabelled/6.png	no	100.00%	
/car-numbers-1/train_unlabelled/80.png	no	100.00%	
/car-numbers-1/train_unlabelled/66.png	no	100.00%	
/car-numbers-1/train_unlabelled/54.png	no	100.00%	
/car-numbers-1/train_labelled/1.png	no	100.00%	
/car-numbers-1/train_unlabelled/388.png	yes	100.00%	
/car-numbers-1/train_unlabelled/477.png	yes	100.00%	
/car-numbers-1/train_labelled/10.png	no	100.00%	
/car-numbers-1/train_unlabelled/256.png	yes	100.00%	
/car-numbers-1/train_unlabelled/8.png	yes	100.00%	
/car-numbers-1/train_unlabelled/58.png	no	100.00%	
/car-numbers-1/train_unlabelled/34.png	yes	100.00%	
/car-numbers-1/train_unlabelled/319.png	yes	100.00%	
/car-numbers-1/train_unlabelled/470.png	no	100.00%	
/car-numbers-1/train_unlabelled/327.png	yes	100.00%	
/car-numbers-1/train_unlabelled/422.png	yes	100.00%	
/car-numbers-1/train_unlabelled/437.png	no	100.00%	
/car-numbers-1/train_unlabelled/45.png	no	99.49%	
/car-numbers-1/train_labelled/12.png	_404	99.99%	
/car-numbers-1/train_unlabelled/56.png	no	100.00%	
/car-numbers-1/train_unlabelled/31.png	no	100.00%	
/car-numbers-1/train_unlabelled/446.png	yes	100.00%	
/car-numbers-1/train_unlabelled/420.png	yes	100.00%	
/car-numbers-1/train_unlabelled/206.png	no	100.00%	
/car-numbers-1/train_unlabelled/389.png	yes	100.00%	
/car-numbers-1/train_unlabelled/129.png	no	100.00%	
/car-numbers-1/train_unlabelled/497.png	yes	100.00%	
/car-numbers-1/train_unlabelled/240.png	yes	100.00%	
/car-numbers-1/train_unlabelled/426.png	no	100.00%	
/car-numbers-1/train_unlabelled/217.png	no	100.00%	
/car-numbers-1/train_unlabelled/51.png	yes	100.00%	
/car-numbers-1/train_labelled/8.png	no	100.00%	
/car-numbers-1/train_unlabelled/2128.png	no	99.95%	
/car-numbers-1/train_unlabelled/1183.png	no	98.94%	
/car-numbers-1/train_unlabelled/2662.png	no	98.94%	
/car-numbers-1/train_unlabelled/5374.png	no	98.94%	
/car-numbers-1/train_unlabelled/3549.png	no	99.95%	
/car-numbers-1/train_unlabelled/4356.png	no	99.95%	
/car-numbers-1/train_unlabelled/1502.png	no	99.95%	
/car-numbers-1/train_unlabelled/3586.png	no	98.94%	
/car-numbers-1/train_unlabelled/4321.png	no	98.94%	
/car-numbers-1/train_unlabelled/938.png	no	98.78%	
/car-numbers-1/train_unlabelled/686.png	no	98.75%	
/car-numbers-1/train_unlabelled/2031.png	no	98.83%	
/car-numbers-1/train_unlabelled/2842.png	no	98.94%	
/car-numbers-1/train_unlabelled/5117.png	no	99.95%	
/car-numbers-1/train_unlabelled/1757.png	no	98.75%	
/car-numbers-1/train_unlabelled/3985.png	no	98.83%	
/car-numbers-1/train_unlabelled/647.png	no	98.78%	
/car-numbers-1/train_unlabelled/3591.png	no	98.90%	
/car-numbers-1/train_unlabelled/5829.png	no	98.94%	
/car-numbers-1/train_unlabelled/747.png	no	98.94%	
/car-numbers-1/train_unlabelled/5778.png	no	98.83%	
/car-numbers-1/train_unlabelled/5489.png	no	98.83%	
/car-numbers-1/train_unlabelled/4065.png	no	98.83%	
/car-numbers-1/train_unlabelled/3308.png	no	98.83%	
/car-numbers-1/train_unlabelled/2693.png	no	99.95%	
/car-numbers-1/train_unlabelled/4062.png	no	98.94%	
/car-numbers-1/train_unlabelled/5681.png	no	98.90%	
/car-numbers-1/train_unlabelled/4809.png	no	98.83%	
/car-numbers-1/train_unlabelled/5002.png	no	98.94%	
/car-numbers-1/train_unlabelled/1543.png	no	99.95%	
/car-numbers-1/train_unlabelled/5338.png	no	98.78%	
/car-numbers-1/train_unlabelled/4391.png	no	98.90%	
/car-numbers-1/train_unlabelled/3615.png	no	99.95%	
/car-numbers-1/train_unlabelled/729.png	no	98.90%	
/car-numbers-1/train_unlabelled/1863.png	no	98.94%	
/car-numbers-1/train_unlabelled/4697.png	no	98.90%	
/car-numbers-1/train_unlabelled/2590.png	no	98.94%	
/car-numbers-1/train_unlabelled/5030.png	no	70.05%	
/car-numbers-1/train_unlabelled/5554.png	no	99.95%	
/car-numbers-1/train_unlabelled/4376.png	no	98.83%	
/car-numbers-1/train_unlabelled/590.png	no	99.95%	
/car-numbers-1/train_unlabelled/1763.png	no	98.75%	
/car-numbers-1/train_unlabelled/3468.png	no	99.95%	
/car-numbers-1/train_unlabelled/1055.png	no	99.95%	
/car-numbers-1/train_unlabelled/5119.png	no	99.95%	
/car-numbers-1/train_unlabelled/4183.png	no	98.83%	
/car-numbers-1/train_unlabelled/1204.png	no	98.80%	
/car-numbers-1/train_unlabelled/5531.png	no	98.83%	
/car-numbers-1/train_unlabelled/2799.png	no	98.94%	
/car-numbers-1/train_unlabelled/5914.png	no	98.78%	
/car-numbers-1/train_unlabelled/4537.png	no	98.78%	
/car-numbers-1/train_unlabelled/4771.png	no	99.95%	
/car-numbers-1/train_unlabelled/1702.png	no	98.94%	
/car-numbers-1/train_unlabelled/4957.png	no	98.94%	
/car-numbers-1/train_unlabelled/1759.png	no	99.99%	
/car-numbers-1/train_unlabelled/4026.png	no	98.83%	
